snp chr pos maf n_HDL beta_HDL se_HDL n_LDL beta_LDL se_LDL n_TC beta_TC se_TC n_TG beta_TG se_TG annot gene rs Z.tg Z.tc Z.ldl Z.hdl mvstat mvp unip
rs3999089 10 64873814 0.487 99885 -0.02217 0.004544 95439 -0.01603 0.004926 100169 -0.01562 0.004849 96583 0.02922 0.004457 2 JMJD1C_TG rs3999089 6.747 -2.908 -3.057 -4.828 75.1948093053487 14.7417872714983 10.821215003195
rs399991 2 21378982 0.311 99892 0.006341 0.004819 95446 -0.04014 0.005227 100176 -0.0368 0.005141 96590 -0.01123 0.004737 2 APOB_LDL:TC rs399991 -2.689 -7.043 -7.651 1.664 62.8321088944955 12.1330589364734 13.7002261869759
rs40059 5 75000338 0.256 99900 -0.007294 0.005419 95454 -0.04609 0.005846 100184 -0.04511 0.005748 96598 -0.00206 0.00532 2 HMGCR_TC:LDL rs40059 0.345 7.416 7.399 1.329 62.9854809548298 12.1653370675357 12.9182549545559
rs40060 5 75003142 0.35 96806 -0.01446 0.004744 92405 -0.05319 0.005122 97047 -0.05452 0.005038 93460 0.0007767 0.004668 2 HMGCR_TC:LDL rs40060 0.025 -9.994 -9.662 -2.54 114.940199662996 23.192013395899 22.7907178762419
rs401843 2 21378481 0.282 96874 0.008683 0.005082 92469 -0.04069 0.005522 97111 -0.03566 0.005429 93525 -0.00939 0.004977 2 APOB_LDL:TC rs401843 2.208 6.265 7.158 -2.109 55.400284074802 10.5721347887108 12.0869147038799
rs4045166 5 74945202 0.239 96819 -0.009175 0.005258 92414 -0.05001 0.005675 97058 -0.04979 0.005593 93472 0.00279 0.005183 2 HMGCR_TC:LDL rs4045166 0.648 -8.269 -8.041 -1.654 83.4642039347631 16.4932673466206 15.8693855767244
rs405509 19 50100676 0.472 60018 0.01519 0.006143 56122 -0.0761 0.006431 60110 -0.04774 0.006246 56522 0.02976 0.005611 2 APOE_LDL:TC:HDL rs405509 -4.808 7.645 11.716 -2.322 205.705497572293 42.6519632504266 30.9765888981144
rs405875 6 32323166 0.413 99900 0.003801 0.004631 95454 0.002426 0.005025 100184 -0.005214 0.004943 96598 -0.02406 0.004546 2 HLA_TC:LDL rs405875 -5.003 -1.058 0.341 0.979 27.6122861036133 4.82548980269779 6.2483749773334
rs407102 1 109647801 0.309 96781 0.005291 0.005267 92372 -0.03817 0.005736 97063 -0.03148 0.005645 93477 -0.00236 0.005161 2 SORT1_LDL:TC rs407102 0.3 5.399 6.435 -1.143 44.6392744118985 8.32557348700069 9.90842683823277
rs4072096 2 226744847 0.475 99892 0.02367 0.004647 95446 -0.006982 0.005038 100176 -0.002326 0.004955 96590 -0.02261 0.00455 2 IRS1_HDL:TG rs4072096 5.029 0.807 1.555 -4.725 36.003734239222 6.53931527726537 6.30711397709797
rs4072296 5 74277758 0.435 99900 0.005421 0.004846 95454 0.0344 0.005231 100184 0.03588 0.005148 96598 0.002586 0.004739 2 HMGCR_TC:LDL rs4072296 -0.703 -6.881 -6.376 -1.238 50.7438215841144 9.59773925434052 11.2259661255816
rs4074448 15 61675548 0.447 98398 0.01199 0.004801 93988 0.004448 0.00525 98644 -0.0006996 0.005154 95058 -0.02153 0.004745 2 LACTB_HDL rs4074448 -4.914 0.203 1.186 2.418 29.1594551352001 5.13933537107908 6.04945625847888
rs4075905 18 45300686 0.457 98409 -0.02494 0.004696 93999 -0.004874 0.005093 98656 -0.01574 0.005003 95070 0.004376 0.004589 2 LIPG_HDL:TC rs4075905 -1.28 2.865 0.728 5.109 32.6126156817585 5.84353509092509 6.48963148645938
rs4076557 11 46721225 0.141 99900 -0.0527 0.006498 95454 -0.00143 0.007016 100184 -0.01501 0.006904 96598 0.01982 0.006358 2 LRP4_HDL rs4076557 -3.134 1.892 0.018 8.185 67.5074775055638 13.1180609517776 15.56494653567
rs4077440 2 43934546 0.44 99892 -0.002164 0.004736 95446 -0.03725 0.005109 100176 -0.03833 0.00503 96590 -0.007086 0.004634 2 ABCG5/8_LDL:TC rs4077440 0.978 7.276 7.087 0.595 58.019118217314 11.1214318283871 12.4636138107051
rs4081552 6 31461668 0.268 96892 -0.01316 0.005106 92487 -0.03118 0.005502 97132 -0.03552 0.005409 93546 -0.008374 0.005029 2 HLA_TG rs4081552 1.486 6.196 5.418 2.168 40.7793802255718 7.52492541100723 9.23720049331474
rs4081918 19 50065579 0.087 98408 -0.01289 0.008195 93998 -0.02527 0.00886 98655 -0.01372 0.008727 95069 0.04225 0.008057 2 APOE_LDL:TC:HDL rs4081918 5.525 -1.532 -2.892 -1.427 47.3869212307347 8.89735724492236 7.48216354648962
rs4082919 17 73889077 0.474 98409 -0.02973 0.004725 93999 -0.005576 0.005102 98656 -0.01353 0.005027 95070 0.01014 0.0046 2 PGS1_HDL rs4082919 -2.497 2.591 0.919 5.848 38.6213453378051 7.07879427490805 8.30319071857801
rs4083261 8 19905506 0.321 99900 -0.08051 0.004839 95454 0.007816 0.005225 100184 0.009274 0.005145 96598 0.08852 0.004734 2 LPL_TG:HDL rs4083261 18.34 1.246 0.891 -15.712 437.364083053823 92.6306093706225 74.4014315061132
rs4084207 18 45514357 0.186 98384 0.03143 0.005932 93974 0.009616 0.006434 98631 0.01917 0.006334 95045 0.001775 0.005752 2 LIPG_HDL:TC rs4084207 0.33 -2.907 -1.533 -5.124 31.9019614773616 5.69822808536397 6.52415312319535
rs409668 15 56494218 0.491 98403 0.07464 0.005369 93994 0.001066 0.005918 98650 0.03953 0.005833 95064 0.02761 0.005367 2 LIPC_HDL:TC:TG rs409668 -4.891 -6.292 0.471 -13.914 311.342225330856 65.4121162945741 43.2833016367176
rs4100654 9 106709062 0.094 99172 0.08918 0.008701 94763 0.02893 0.009463 99456 0.07104 0.009303 95870 0.01042 0.00855 2 ABCA1_HDL:TC rs4100654 1.123 7.693 3.102 10.787 163.599313139868 33.6071109344481 26.4017319252492
rs410251 15 56431131 0.362 98409 0.03209 0.004783 93999 0.01096 0.005193 98656 0.02448 0.005107 95070 0.01344 0.004667 2 LIPC_HDL:TC:TG rs410251 -2.86 -4.423 -1.889 -6.266 72.3776027739731 14.1461845679972 9.43128173538025
rs410283 6 32323176 0.408 99900 0.00376 0.004639 95454 0.001982 0.005041 100184 -0.005544 0.004962 96598 -0.0239 0.004558 2 HLA_TC:LDL rs410283 4.954 1.107 -0.273 -0.965 26.9335231356981 4.68816891427285 6.13844643767636
rs410851 6 32044647 0.286 36612 -0.008746 0.008983 32894 -0.02877 0.009608 36641 -0.05013 0.009231 33198 -0.03683 0.007608 2 HLA_TC:LDL rs410851 -5.033 -4.971 -2.619 -1.269 44.530628802684 8.30299425649345 6.31617595804673
rs410852 19 59492183 0.305 77701 -0.04139 0.005984 73471 0.00334 0.006455 77794 -0.01075 0.006316 74212 0.008757 0.00565 2 LILRA3_HDL rs410852 1.328 -1.588 0.814 -7.021 51.6611947251432 9.78945555681804 11.6570133882428
rs4120621 1 109750531 0.284 99900 0.004277 0.005089 95454 -0.04052 0.005529 100184 -0.03498 0.005437 96598 -0.0008111 0.004973 2 SORT1_LDL:TC rs4120621 -0.148 -6.233 -7.058 0.846 55.1762287495958 10.5251803281406 11.7723290580682
rs4121823 18 45398221 0.142 98409 0.09041 0.006932 93999 0.022 0.007497 98656 0.06033 0.00737 95070 0.005143 0.006631 2 LIPG_HDL:TC rs4121823 0.19 7.451 2.471 12.582 198.944437155679 41.1981896387885 35.5763793023237
rs412334 11 61316837 0.151 84403 -0.0268 0.007578 80155 -0.03367 0.008149 84686 -0.0349 0.007989 81098 0.01531 0.00719 2 FADS1-2-3_TG:HDL:TC:LDL rs412334 -2.212 4.499 4.265 3.553 37.928630014033 6.9358429468571 5.16574555793396
rs412392 6 34657677 0.341 99900 0.02553 0.004854 95454 0.008947 0.005245 100184 0.01745 0.005159 96598 0.002434 0.004774 2 C6orf106_HDL rs412392 0.536 3.297 1.75 5.382 39.4783805143533 7.2558296101793 7.13275198379902
rs412558 2 21379541 0.312 99892 0.006174 0.00483 95446 -0.0403 0.005237 100176 -0.03683 0.005153 96590 -0.01082 0.004745 2 APOB_LDL:TC rs412558 2.605 7.016 7.655 -1.643 62.5991444033553 12.0840347228544 13.7137406408963
rs4128214 10 94538009 0.309 99900 0.01082 0.004974 95454 -0.0173 0.005428 100184 -0.02148 0.005313 96598 -0.02622 0.004883 2 CYP26A1_TG rs4128214 4.923 4.072 3.324 -2.454 34.0501278913468 6.13801451155971 6.06942049206394
rs4128553 2 21010660 0.109 99892 0.01557 0.007427 95446 -0.06969 0.008125 100176 -0.06523 0.007978 96590 -0.02357 0.007403 2 APOB_LDL:TC rs4128553 3.324 7.367 7.999 -2.589 73.0275054980962 14.2835308208151 14.9015857040329
rs4128744 8 19963935 0.132 99900 -0.1317 0.007108 95454 0.005095 0.007712 100184 -0.0009003 0.007594 96598 0.1315 0.007025 2 LPL_TG:HDL rs4128744 -18.441 0.557 -0.038 17.519 486.269237482714 103.204393911476 75.210478901691
rs4128808 9 135055050 0.314 99900 -0.00541 0.005144 95454 0.03205 0.00564 100184 0.0262 0.005514 96598 -0.0007589 0.005058 2 ABO_LDL:TC rs4128808 0.077 4.102 5.096 -1.186 28.845864088949 5.0756328547502 6.45978928330605
rs4129767 17 73915579 0.478 98409 -0.02854 0.00459 93999 -0.004881 0.004964 98656 -0.01313 0.004892 95070 0.00957 0.004482 1 PGS1_HDL rs4129767 -2.561 2.394 0.678 5.778 37.5703433822511 6.86195658373595 8.12151377354146
rs4131228 2 43911623 0.027 71071 0.05063 0.02361 67086 -0.1379 0.02655 71310 -0.1077 0.02576 67724 -0.03997 0.02345 2 ABCG5/8_LDL:TC rs4131228 -1.703 -4.451 -5.55 2.322 34.6929278670394 6.26992119539285 7.54413597654475
rs413380 1 109596549 0.042 98163 -0.03674 0.01279 92725 0.09522 0.01361 98448 0.08012 0.01338 94862 0.01882 0.01256 2 SORT1_LDL:TC rs413380 -1.438 -5.842 -6.725 2.48 53.264527403575 10.1248287014517 10.7554941802507
rs413458 15 56388014 0.279 98409 0.04403 0.005709 93999 0.01275 0.006189 98656 0.02622 0.00608 95070 0.008499 0.005579 2 LIPC_HDL:TC:TG rs413458 -1.796 -4.086 -1.756 -7.263 79.1207026424815 15.5727405729026 12.4218217593643
rs4135247 3 12371588 0.415 99900 -0.007744 0.004718 95454 0.02469 0.005115 100184 0.02847 0.005033 96598 0.02006 0.004604 2 RAF1_TC rs4135247 -4.623 -5.128 -4.353 1.361 37.0181386577195 6.74815012261749 6.53337487749074
rs413582 1 109652649 0.475 99900 0.01004 0.004678 95454 -0.05216 0.005098 100184 -0.04489 0.005019 96598 -0.009795 0.004622 2 SORT1_LDL:TC rs413582 2.212 8.818 9.994 -2.119 105.266667883052 21.1289317006716 22.7907178762419
rs41389747 17 13292147 0.023 1456 -1.112 0.1837 1375 -0.9286 0.5174 1459 -0.7416 0.5283 1458 0.0311 0.2771 0 n.a. rs41389747 -0.106 1.333 1.71 5.657 63.8014845964833 12.337110652241 7.81236151829249
rs41395150 6 91183343 0.024 1456 0.383 0.2082 1375 0.3611 0.6335 1459 -1.146 0.6125 1458 -0.2384 0.3193 0 n.a. rs41395150 -0.704 -1.776 0.543 1.719 44.9383711822483 8.38774529576437 1.1207153143237
rs4142393 20 39511499 0.476 98406 0.006997 0.004561 93996 0.02608 0.004955 98653 0.02471 0.004876 95067 0.002948 0.004476 2 MAFB_TC:LDL rs4142393 0.671 5.04 5.262 1.411 31.2488849782237 5.56486206594879 6.84619498957524
rs4143332 6 31456344 0.109 94841 0.02018 0.007314 92372 0.0227 0.008022 97063 0.04819 0.007889 93477 0.04486 0.007327 2 HLA_TG rs4143332 -6.056 -5.567 -2.523 -2.48 68.7766076582121 13.3857908477079 8.85527637916135
rs4143333 6 31456498 0.21 94841 -0.01769 0.006114 90533 -0.02072 0.006658 95123 -0.03799 0.006555 91537 -0.03009 0.00604 2 HLA_TG rs4143333 4.822 5.385 2.863 2.629 52.9353412094483 10.0559414618176 7.13999369105473
rs41453844 16 29085988 0.493 1456 2.238 0.2661 1375 1.907 0.8985 1459 1.238 0.7478 1458 0.2279 0.3905 0 n.a. rs41453844 0.55 1.572 2.022 7.859 132.993972532875 27.0499898166506 14.4120509264086
rs414671 15 56479771 0.196 98409 -0.04718 0.0058 93999 0.006255 0.00629 98656 -0.01352 0.006189 95070 -0.008462 0.00569 2 LIPC_HDL:TC:TG rs414671 -1.059 -2.117 1.021 -7.324 71.1687564389574 13.8908034244249 12.6185479329374
rs4147313 17 64396967 0.431 98389 -0.02224 0.004573 93979 0.004988 0.00497 98635 -0.002699 0.00489 95049 0.003297 0.004487 2 ABCA8_HDL rs4147313 -0.488 0.231 -1.307 4.986 28.7750334088628 5.06125057562295 6.21012226309773
rs4147314 17 64397121 0.431 98312 -0.02209 0.00458 93904 0.005649 0.004977 98558 -0.002084 0.004898 94972 0.003343 0.004493 2 ABCA8_HDL rs4147314 -0.497 0.114 -1.42 4.941 28.5535345013833 5.01628977441216 6.10945095617766
rs4147730 11 47562003 0.147 99900 -0.04564 0.006445 95454 -0.005788 0.006954 100184 -0.02309 0.00682 96598 0.002892 0.006252 2 LRP4_HDL rs4147730 -0.995 3.185 0.911 6.857 52.0594852499354 9.872731676984 11.1529110645547
rs4147993 17 64414888 0.359 97955 -0.02752 0.00582 93549 0.008066 0.006328 98202 -0.001397 0.006231 94616 0.001951 0.005754 2 ABCA8_HDL rs4147993 -0.163 0.027 -1.581 5.012 31.4525185772551 5.60642880514456 6.26867556552958
rs4147997 17 64410885 0.204 98384 0.03191 0.00574 93978 -0.01128 0.006207 98631 0.001897 0.006114 95045 -0.00609 0.005608 2 ABCA8_HDL rs4147997 0.992 -0.3 1.675 -5.468 33.2082846251619 5.96547251233138 7.34185319838513
rs4147998 17 64402972 0.433 98409 -0.02226 0.004571 93999 0.005853 0.004967 98656 -0.002229 0.004889 95070 0.004013 0.004485 2 ABCA8_HDL rs4147998 -0.65 0.129 -1.473 5.022 28.8368043051382 5.07379312369509 6.29127168911469
rs4148005 17 64394061 0.32 98409 -0.03215 0.0048 93999 0.01731 0.005213 98656 0.005078 0.005107 95070 0.008937 0.004701 2 ABCA8_HDL rs4148005 -1.879 -0.871 -3.119 6.366 48.2841657470672 9.08437212004553 9.71215029580955
rs4148008 17 64386889 0.323 98409 -0.03289 0.004806 93999 0.0155 0.005219 98656 0.003454 0.005117 95070 0.009467 0.004706 1 ABCA8_HDL rs4148008 -2.044 -0.692 -2.849 6.378 46.7250172298793 8.75948656918688 9.74614000602436
rs4148012 17 64374354 0.358 98409 -0.02528 0.004727 93999 0.0136 0.00512 98656 0.004756 0.005041 95070 0.008882 0.004641 2 ABCA8_HDL rs4148012 2.122 0.837 2.398 -5.254 31.5895052381688 5.63440029427848 6.82730695071131
rs4148191 2 43896408 0.06 99892 -0.00606 0.01004 95446 0.06389 0.01092 100176 0.05781 0.01074 96590 0.007583 0.009816 2 ABCG5/8_LDL:TC rs4148191 -0.355 -4.88 -5.354 0.221 30.6152851278049 5.43563351257036 7.06534573726665
rs4148214 2 43932508 0.434 95708 -0.001036 0.004798 91285 -0.04184 0.005179 95992 -0.04266 0.005091 92410 -0.009362 0.004682 2 ABCG5/8_LDL:TC rs4148214 1.579 8.071 7.866 0.372 70.3519069714133 13.7183025079331 15.1566132391131
rs4148217 2 43952937 0.197 99861 -0.003842 0.006039 95417 0.04562 0.006443 100145 0.04145 0.006345 96559 0.00931 0.005828 2 ABCG5/8_LDL:TC rs4148217 -1.672 -6.302 -6.99 1.328 51.5474132364734 9.7656700623409 11.560846992902
rs4148218 2 43953086 0.195 99892 -0.004279 0.006099 95446 0.04668 0.00653 100176 0.04218 0.00642 96590 0.008328 0.005894 2 ABCG5/8_LDL:TC rs4148218 -1.498 -6.327 -7.043 1.382 52.755212985127 10.0182534685935 11.7255090986699
rs4148876 6 32904771 0.083 96781 0.02308 0.009063 92372 -0.008985 0.009911 97063 -0.02067 0.009718 93477 -0.04797 0.008767 2 HLA_TC:LDL rs4148876 4.952 2.224 0.974 -2.467 28.7993818597835 5.066194307283 6.13398097599788
rs4149267 9 106691766 0.366 99179 -0.03164 0.004724 94769 -0.02325 0.005133 99463 -0.04139 0.005055 95877 -0.01024 0.004657 2 ABCA1_HDL:TC rs4149267 2.136 8.062 4.329 7.925 117.772740959372 23.7966977659482 15.1246134207724
rs4149268 9 106687041 0.361 96100 -0.03041 0.004762 91733 -0.02406 0.005174 96340 -0.04177 0.005095 92754 -0.01123 0.004691 2 ABCA1_HDL:TC rs4149268 -2.445 -7.795 -4.272 -7.132 104.440114812562 20.9528074375477 14.1910569579743
rs4149269 9 106686942 0.36 96025 -0.031 0.004771 91663 -0.02355 0.00518 96263 -0.04175 0.00511 92676 -0.01068 0.004701 2 ABCA1_HDL:TC rs4149269 2.329 7.761 4.171 7.218 104.816226115981 21.0329470737024 14.0743666020264
rs4149270 9 106686898 0.336 99089 -0.0294 0.00485 94680 -0.0237 0.005259 99373 -0.04018 0.005182 95787 -0.009444 0.004776 2 ABCA1_HDL:TC rs4149270 -1.764 -7.696 -4.424 -7.304 101.44006346049 20.3137711197551 13.8526582266612
rs4149272 9 106682108 0.347 99179 -0.03561 0.004891 94769 -0.0252 0.005318 99463 -0.0458 0.005237 95877 -0.01335 0.004822 2 ABCA1_HDL:TC rs4149272 -2.448 -8.524 -4.633 -8.336 132.013694411628 26.8402903252457 16.8120969648148
rs4149273 9 106682032 0.347 99179 -0.03554 0.004893 94769 -0.0255 0.005312 99463 -0.04582 0.005239 95877 -0.01325 0.004817 2 ABCA1_HDL:TC rs4149273 2.438 8.535 4.654 8.328 131.915335598429 26.8192508460578 16.8533900775873
rs4149274 9 106679235 0.311 99179 0.03228 0.005321 94769 0.02603 0.005769 99463 0.04478 0.005684 95877 0.01299 0.005217 2 ABCA1_HDL:TC rs4149274 -2.023 -7.719 -4.394 -7.206 101.73427974412 20.376425856436 13.9309023219671
rs4149281 9 106666210 0.127 98899 0.04505 0.007045 94490 0.004949 0.007699 99172 0.02449 0.007538 95586 -0.001075 0.007022 2 ABCA1_HDL:TC rs4149281 -0.569 2.967 0.375 6.299 46.2417522220931 8.65887583373098 9.52349879225697
rs4149310 9 106628955 0.128 38552 -0.06146 0.01207 34733 -0.02581 0.01312 38581 -0.05089 0.01253 35138 -0.02467 0.01095 2 ABCA1_HDL:TC rs4149310 -2.346 -3.697 -1.584 -4.453 39.8800318779676 7.33886188344718 5.07222553802024
rs4149311 9 106628598 0.123 99168 -0.04796 0.006974 94758 -0.0219 0.007582 99450 -0.04935 0.007452 95864 -0.02644 0.006942 2 ABCA1_HDL:TC rs4149311 3.543 6.185 2.581 6.288 87.8854900358263 17.431432086182 9.49270838617414
rs4149313 9 106626574 0.128 99117 -0.04672 0.006813 94708 -0.01935 0.007417 99400 -0.0466 0.007301 95814 -0.02712 0.006802 2 ABCA1_HDL:TC rs4149313 -3.63 -5.975 -2.298 -6.252 87.3244313951185 17.3123190804514 9.3922990589842
rs41532245 4 83176274 0.011 1456 -1.959 0.341 1375 -0.1964 0.2726 1459 -0.2174 0.225 1458 -0.2657 0.1322 0 n.a. rs41532245 -1.89 -0.912 -0.687 -5.375 72.6707390773724 14.2081300343137 7.11586942761227
rs415799 15 56478046 0.465 98409 0.08195 0.004619 93999 -6.273e-05 0.005035 98656 0.03914 0.00492 95070 0.02354 0.004518 2 LIPC_HDL:TC:TG rs415799 -5.298 -7.543 0.327 -16.821 437.022657285132 92.5568073243865 62.7663854616763
rs416867 19 59488442 0.206 78122 -0.0551 0.007289 73995 -0.001946 0.007556 78214 -0.02191 0.007401 74633 0.006032 0.006715 2 LILRA3_HDL rs416867 -0.474 3.143 0.475 7.48 63.0148699315056 12.1715224421789 13.1288790400484
rs417344 15 56505211 0.147 98401 0.03913 0.006981 93992 0.001386 0.007446 98649 0.01636 0.007305 95062 0.01266 0.006618 2 LIPC_HDL:TC:TG rs417344 1.557 2.112 0.147 5.441 44.957808358652 8.39178622090195 7.27586907608014
rs418451 2 21375142 0.311 99859 0.00618 0.004821 95413 -0.0404 0.005229 100143 -0.03696 0.005154 96557 -0.01102 0.004738 2 APOB_LDL:TC rs418451 -2.651 -7.066 -7.685 1.634 63.1898538612874 12.2083524103131 13.8153171028738
rs419010 19 50060160 0.427 98409 -0.01143 0.004753 93999 0.02973 0.005133 98656 0.01872 0.005053 95070 -0.005625 0.004626 2 APOE_LDL:TC:HDL rs419010 -0.972 3.653 5.591 -2.127 42.1666574705162 7.81230879241218 7.64634226731707
rs419132 6 32318777 0.262 99900 0.01195 0.005339 95454 -0.006408 0.005778 100184 -0.007724 0.005653 96598 -0.02713 0.005289 2 HLA_TC:LDL rs419132 -5.089 -1.875 -1.323 2.03 26.10129992831 4.52012885009944 6.44374984283
rs419304 19 59467161 0.15 88987 -0.05058 0.008712 84651 -0.002568 0.009613 89228 -0.02333 0.009423 85646 0.008124 0.008685 2 LILRA3_HDL rs419304 0.427 -2.439 -0.249 -5.893 39.0762834561179 7.1727459926612 8.42107852463381
rs419788 6 32036778 0.274 99900 -0.0006663 0.005083 95454 -0.02925 0.005554 100184 -0.04166 0.005467 96598 -0.03831 0.004964 2 HLA_TC:LDL rs419788 -7.608 -6.821 -4.548 -0.192 82.3770809359912 16.2627613418753 13.5553778188287
rs42131 7 72449523 0.167 99900 -0.03267 0.007878 95454 -0.01854 0.008366 100184 0.0001493 0.008225 96598 0.0806 0.007543 2 TYW1B_TG rs42131 10.206 0.003 -2.057 -4.04 120.118366465784 24.2976208750635 23.7295748575366
rs422249 11 61396064 0.321 36612 0.04219 0.008982 32894 0.03501 0.009647 36641 0.03108 0.009203 33198 -0.02698 0.007591 2 FADS1-2-3_TG:HDL:TC:LDL rs422249 2.921 -3.24 -3.551 -4.574 41.0582590624464 7.5826612029641 5.32011820588285
rs42302 5 75001310 0.342 99900 -0.01416 0.004764 95454 -0.05368 0.005134 100184 -0.05431 0.005057 96598 0.001763 0.004684 2 HMGCR_TC:LDL rs42302 -0.204 10.062 9.787 2.577 118.119707198795 23.8707842509948 23.0897541328053
rs423277 2 21379827 0.321 99892 0.005503 0.004828 95446 -0.03973 0.005236 100176 -0.03657 0.005157 96590 -0.01003 0.004749 2 APOB_LDL:TC rs423277 2.41 6.933 7.558 -1.464 60.528443001323 11.6485367778972 13.3879433511188
rs4233716 2 27887888 0.195 99758 0.005838 0.005676 95314 0.009565 0.006163 100041 0.02405 0.006045 96455 0.03684 0.005563 2 GCKR_TG:TC rs4233716 -6.979 -4.089 -1.801 -0.422 60.1650692440185 11.5721623619315 11.5268219216425
rs4233717 2 27888184 0.195 99892 0.005858 0.005674 95446 0.009527 0.006161 100176 0.0242 0.006041 96590 0.03682 0.00556 2 GCKR_TG:TC rs4233717 6.982 4.114 1.792 0.427 60.3781047486204 11.6169366803841 11.5360963705705
rs4233719 2 27932848 0.23 99892 0.004376 0.005434 95446 0.009815 0.005875 100176 0.02526 0.005788 96590 0.04025 0.005337 2 GCKR_TG:TC rs4233719 -7.758 -4.454 -1.886 -0.241 72.9664662920586 14.2706297930636 14.0640941333498
rs4233720 2 27933279 0.182 99892 0.004272 0.005917 95446 0.006602 0.006409 100176 0.02193 0.006306 96590 0.04038 0.005812 2 GCKR_TG:TC rs4233720 7.289 3.688 1.275 0.102 63.0743732563124 12.1840461289967 12.5054780077647
rs4237138 9 15276386 0.123 99900 0.04863 0.007219 95454 0.007517 0.00781 100184 0.03332 0.00769 96598 0.02464 0.007072 2 TTC39B_HDL:TC rs4237138 3.119 4.244 0.737 6.746 82.62691937689 16.3157290348875 10.8182232221008
rs4238103 12 49123556 0.194 3071 -0.005428 0.06415 19135 0.07425 0.01905 3073 -0.02656 0.1257 20601 0.01223 0.01843 0 n.a. rs4238103 -0.633 0.23 -3.552 0.222 76.7905528365339 15.0794125275357 3.41757882077153
rs4238370 15 61134416 0.217 96908 0.03052 0.005584 92503 0.0008893 0.006043 97148 0.005794 0.005944 93562 -0.01867 0.005444 2 LACTB_HDL rs4238370 3.354 -1.023 -0.169 -5.206 30.3084366722668 5.37310745254573 6.71454476314546
rs4238372 15 61138541 0.215 96908 0.03039 0.005534 92503 0.0004763 0.005988 97148 0.005655 0.005889 93562 -0.01772 0.005398 2 LACTB_HDL rs4238372 -3.265 1.021 0.115 5.258 30.3870374253152 5.38912011012923 6.83674760024208
rs4238790 16 55340982 0.176 96908 0.0295 0.005955 92503 -0.003284 0.006463 97148 0.003927 0.00635 93562 -0.01479 0.00575 2 CETP_HDL:TC:LDL:TG rs4238790 -2.354 0.462 -0.746 4.933 24.7868883929774 4.25551215376588 6.09164284794104
rs4239162 17 43110809 0.485 98409 0.01733 0.004569 93999 0.0245 0.004947 98656 0.02391 0.004873 95070 -0.01377 0.004487 2 OSBPL7_LDL:TC rs4239162 -2.998 4.842 4.865 3.446 48.3193684009897 9.09171234717325 5.94135837256669
rs4239163 17 43110953 0.485 98409 0.01702 0.004569 93999 0.02452 0.004947 98656 0.02388 0.004873 95070 -0.01357 0.004487 2 OSBPL7_LDL:TC rs4239163 -2.957 4.834 4.866 3.38 47.7323563925359 8.96934045318881 5.94355438333693
rs4239222 17 34949761 0.259 98382 0.03632 0.005198 93972 0.009787 0.005631 98629 0.02257 0.005544 95043 -0.00276 0.00512 2 STARD3_HDL rs4239222 -0.157 3.608 1.198 6.719 53.9505059650702 10.26842949568 10.7376060854288
rs4240624 8 9221641 0.085 99900 0.08054 0.008135 95454 0.06725 0.008809 100184 0.08546 0.008651 96598 -0.01581 0.008039 2 PPP1R3B_HDL:TC:LDL rs4240624 -2.337 9.141 7.097 10.006 165.326978866748 33.9777613416235 22.8433444303289
rs4244456 8 19754748 0.455 99900 0.02739 0.004822 95454 -0.0006442 0.005191 100184 0.0019 0.005106 96598 -0.02261 0.004695 2 LPL_TG:HDL rs4244456 -4.899 -0.004 -0.52 5.768 42.4544648586493 7.87198451920674 8.09572922021222
rs4244457 8 19943326 0.319 99860 -0.05022 0.004845 95414 0.007146 0.005253 100144 0.006389 0.005166 96558 0.05174 0.004739 2 LPL_TG:HDL rs4244457 -10.835 -0.85 -1.03 10.062 161.551591153597 33.167857512386 26.6289960618645
rs4245232 18 45340996 0.19 98409 -0.0368 0.00587 93999 -0.01068 0.006342 98656 -0.0255 0.006232 95070 -0.0005499 0.005633 2 LIPG_HDL:TC rs4245232 0.869 -3.498 -1.162 -6.133 44.9237182068385 8.38469903953016 9.06430561455675
rs4245791 2 43927935 0.297 95536 0.004302 0.005272 91118 -0.0814 0.005792 95836 -0.07963 0.005681 92254 -0.01545 0.005218 2 ABCG5/8_LDL:TC rs4245791 -2.775 -13.808 -14.117 1.301 222.922950424444 46.3560998534 44.5251609979395
rs4246215 11 61320875 0.359 99868 -0.04587 0.004785 95422 -0.04882 0.005187 100152 -0.04921 0.005115 96566 0.04724 0.004677 2 FADS1-2-3_TG:HDL:TC:LDL rs4246215 9.632 -9.592 -9.369 -9.399 279.452567855745 58.5339788670501 21.2322649939778
rs4246517 1 109809159 0.288 99900 0.003946 0.00505 95454 -0.03729 0.005487 100184 -0.03292 0.005398 96598 -0.0007103 0.004942 2 SORT1_LDL:TC rs4246517 0.113 5.843 6.526 -0.864 48.4346046349595 9.11574213805549 10.1703790199752
rs4247165 1 92604767 0.202 96908 0.0001052 0.005682 92503 0.03008 0.006146 97148 0.03308 0.006045 93562 0.01012 0.005594 2 EVI5_TC rs4247165 -1.824 -5.357 -4.929 0.091 29.9526203821457 5.3006523911832 7.07255202245528
rs4247303 2 85407591 0.482 99892 0.02237 0.004625 95446 -0.00788 0.004998 100176 0.001081 0.004919 96590 -0.007649 0.004515 0 n.a. rs4247303 -1.686 0.371 -1.511 5.015 27.4147860910501 4.78550946213734 6.27544999080862
